Timestamp,HRV,SpO2,Prediction
2025-04-04 17:44:51,85.45,85.06,1
2025-04-04 17:44:52,61.58,86.47,0
2025-04-04 17:44:53,98.26,89.91,1
2025-04-04 17:44:54,90.33,96.01,0
2025-04-04 17:44:55,59.61,96.26,0
2025-04-04 17:44:56,45.76,97.84,0
2025-04-04 17:44:57,65.67,86.91,0
2025-04-04 17:44:58,44.99,94.49,0
2025-04-04 17:44:59,99.23,95.51,1
2025-04-04 17:45:00,50.38,93.65,0
2025-04-04 17:45:01,86.95,86.54,1
2025-04-04 17:45:02,53.59,91.39,0
2025-04-04 17:45:03,43.39,96.44,0
2025-04-04 17:45:04,46.66,96.93,0
2025-04-04 17:45:05,99.69,89.41,1
2025-04-04 17:45:06,54.65,85.21,0
2025-04-04 17:45:07,56.98,97.31,0
2025-04-04 17:45:08,60.00,91.76,0
2025-04-04 17:45:09,59.50,86.41,0
2025-04-04 17:45:10,80.90,91.93,0
2025-04-04 17:45:11,80.50,91.60,0
2025-04-04 17:45:12,88.29,95.72,0
2025-04-04 17:45:13,48.10,88.40,0
2025-04-04 17:45:14,87.77,94.39,0
2025-04-04 17:45:15,74.69,87.00,0
2025-04-04 17:45:16,52.00,88.57,0
2025-04-04 17:45:17,55.73,88.76,0
2025-04-04 17:45:18,52.31,92.53,0
2025-04-04 17:45:19,71.68,95.15,0
2025-04-04 17:45:20,99.04,98.38,0
2025-04-04 17:45:21,70.26,86.88,0
2025-04-04 17:45:22,87.11,87.39,1
2025-04-04 17:45:23,63.95,97.23,0
2025-04-04 17:45:24,95.06,99.26,0
2025-04-04 17:45:25,88.66,95.44,0
2025-04-04 17:45:26,67.38,90.70,0
2025-04-04 17:45:27,73.02,94.74,0
2025-04-04 17:45:28,81.12,89.85,0
